TIPO;NÚMERO;NOMBRE;DEPENDENCIA;FECHA CIERRE;PERFIL;ENLACE
E;2017-1406;UsmeAndo el derecho a la ciudad y el ordenamiento territorial en el posconflicto;Facultad de Artes;27/05/2017;Arquitectura, Derecho, Ciencias Políticas, Trabajo Social, Sociología, Geografía, Economía, Administración de Empresas, Ingeniería Industrial;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1406.pdf
E;2017-1405;Participación y Acción Territorial por una Ciudad Incluyente en el Marco del Plan de Acción del Cons;Facultad de Artes;25/05/2017;Arquitectura, Geografía.;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1405.pdf
E;2017-1404;Participación y Acción Territorial por una Ciudad Incluyente en el Marco del Plan de Acción del Cons;Facultad de Artes;25/05/2017;Trabajo Social, Antropología, Ciencias Políticas, Sociología, Historia.;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1404.pdf
E;2017-1403;Participación y Acción Territorial por una Ciudad Incluyente en el Marco del Plan de Acción del Cons;Facultad de Artes;26/05/2017;Ciencias Políticas, Sociología, Ciencias Económicas.;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1403.pdf
E;2017-1402;Participación y Acción Territorial por una Ciudad Incluyente en el Marco del Plan de Acción del Cons;Facultad de Artes;26/05/2017;Geografía, Sociología, Antropología, Ciencia Política.;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1402.pdf
E;2017-1401;Participación y Acción Territorial por una Ciudad Incluyente en el Marco del Plan de Acción del Cons;Facultad de Artes;26/05/2017;Arquitectura, Geografía. Sociología, Historia.;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1401.pdf
E;2017-1400;Participación y Acción Territorial por una Ciudad Incluyente en el Marco del Plan de Acción del Cons;Facultad de Artes;25/05/2017;Ciencias sociales, Antropología, Trabajo social, Ciencias Políticas, Sociología;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1400.pdf
O;2017-1399;ENCUENTRE + DISEÑO;Facultad de Artes;26/05/2017;Diseño industrial, Diseño Gráfico.;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1399.pdf
O;2017-1397;Maestría en Estudios Culturales;Facultad de Ciencias Humanas;26/05/2017;Sociología;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1397.pdf
GA;2017-1396;DEPARTAMENTO DE COMUNICACIÓN HUMANA;Facultad de Medicina - Departamento de Comunicación Humana;30/05/2017;Fonoaudiología;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1396.pdf
I;2017-1395;CARACTERIZACIÓN FISICO – BIÓTICA, SOCIAL Y DE SERVICIOS ECOSISTÉMICOS EN SITIOS PRIORIZADOS POR PARQ;Facultad de Ciencias - Instituto de Ciencias Naturales;26/05/2017;Biología;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1395.pdf
GA;2017-1394;Vinculación estudiante Pregrado Plan Integral de Riesgos de Extensión 2017;Dirección de Investigación y Extensión - División de Extensión;26/05/2017;Diseño Gráfico, Diseño Industrial;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1394.pdf
E;2017-1392;ESTUDIOS PARA EL MANEJO DEL CAUDAL DEL BRAZO GAVIOTAS, RÍO ARAUCA MUNICIPIO DE ARAUQUITA, DEPARTAMEN;Facultad de Ingeniería - Departamento de Ingeniería Civil y Agrícola;26/05/2017;Ingeniería Civil;http://bogota.unal.edu.co/fileadmin/convocatorias/estudiantes_auxiliares/2017-1392.pdf
